,ecoregion,year,fraction
0,0,1984,0
1,1,1984,0.0
2,2,1984,0
3,3,1984,0.0011060891614504307
4,4,1984,0.0006028189456774939
5,5,1984,0.00035399090965008387
6,6,1984,0
7,7,1984,0.0
8,8,1984,0
9,9,1984,0
10,10,1984,4.124164522774446e-05
11,11,1984,0.0
12,12,1984,0
13,13,1984,0
14,14,1984,0
15,15,1984,0.0003451385230966879
16,16,1984,0.0
17,17,1984,2.0814754689768443e-05
18,18,1984,3.48664035993398e-05
19,19,1984,0
20,20,1984,0
21,21,1984,0.001458812481029914
22,22,1984,0
23,23,1984,1.722778241150579e-05
24,24,1984,0
25,25,1984,0
26,26,1984,0.00017546161692279501
27,27,1984,0.0
28,28,1984,0.0
29,29,1984,0
30,30,1984,0
31,31,1984,0
32,32,1984,0
33,33,1984,0
34,34,1984,0.00040020632597764376
35,35,1984,0.00223648321601617
36,36,1984,0
37,37,1984,0.00037245657852908614
38,38,1984,0
39,39,1984,0.0
40,40,1984,0
41,41,1984,0.0011249581593620588
42,42,1984,0
43,43,1984,0
44,44,1984,0
45,45,1984,2.061034815889375e-05
46,46,1984,0
47,47,1984,0
48,48,1984,0.0
49,49,1984,0.00040816895353160376
50,50,1984,0
51,51,1984,0
52,52,1984,0
53,53,1984,0.0
54,54,1984,0.0
55,55,1984,0
56,56,1984,1.465502880598575e-05
57,57,1984,0
58,58,1984,0
59,59,1984,0
60,60,1984,0
61,61,1984,0
62,62,1984,0.0
63,63,1984,6.867995307993622e-06
64,64,1984,0
65,65,1984,0.0007356281440142965
66,66,1984,0
67,67,1984,0
68,68,1984,4.058343282632737e-05
69,69,1984,0
70,70,1984,0
71,71,1984,1.4671837931853224e-05
72,72,1984,0.001953807980292391
73,73,1984,0.001239188493993204
74,74,1984,0.0
75,75,1984,0
76,76,1984,0
77,77,1984,0
78,78,1984,0
79,79,1984,0
80,80,1984,0.0
81,81,1984,0
82,82,1984,0
83,83,1984,3.513553852171427e-05
84,84,1984,5.994701361254577e-06
85,85,1984,0
86,86,1984,0.0
87,87,1984,0
88,88,1984,0
89,89,1984,0
90,90,1984,0.0
91,91,1984,0.0
92,92,1984,0
93,93,1984,0.00013568551763347634
94,94,1984,6.931927608387867e-06
95,0,1985,0.000651916374319931
96,1,1985,0.0001380088976956108
97,2,1985,0.0
98,3,1985,0.0003893583908729229
99,4,1985,4.501435423118697e-06
100,5,1985,0.00032708364925203477
101,6,1985,0
102,7,1985,0.0
103,8,1985,5.2700640747269235e-05
104,9,1985,0
105,10,1985,0.00041053724841020434
106,11,1985,0.0
107,12,1985,0
108,13,1985,0
109,14,1985,0
110,15,1985,0.0004669504347146446
111,16,1985,0.0
112,17,1985,0.00027076095986257515
113,18,1985,0.0022525660570506503
114,19,1985,0
115,20,1985,0
116,21,1985,0.0054895584172619276
117,22,1985,0
118,23,1985,0.00015904129668190591
119,24,1985,0
120,25,1985,0
121,26,1985,0.0037625412597072075
122,27,1985,0
123,28,1985,0.0
124,29,1985,0
125,30,1985,0
126,31,1985,0
127,32,1985,3.311582153139362e-05
128,33,1985,0
129,34,1985,0.002025735457498762
130,35,1985,0.0008089738928707803
131,36,1985,0.00014748009220910016
132,37,1985,6.78185881649678e-05
133,38,1985,0
134,39,1985,0.00022138075158195777
135,40,1985,0
136,41,1985,0.005612731746563546
137,42,1985,0
138,43,1985,0.00035910077609572306
139,44,1985,0
140,45,1985,0.0012886284586786122
141,46,1985,0
142,47,1985,0
143,48,1985,0.0
144,49,1985,0.014540607902430063
145,50,1985,0.0
146,51,1985,0
147,52,1985,0
148,53,1985,0
149,54,1985,0.0
150,55,1985,0
151,56,1985,0.00042032859096546876
152,57,1985,0
153,58,1985,0
154,59,1985,0
155,60,1985,0
156,61,1985,2.5091933296975633e-05
157,62,1985,0
158,63,1985,4.3949125406785896e-07
159,64,1985,0.0
160,65,1985,0.00014568774401513957
161,66,1985,0
162,67,1985,0
163,68,1985,2.0667283361078605e-08
164,69,1985,0
165,70,1985,0.0
166,71,1985,0
167,72,1985,0.007481845487542775
168,73,1985,0.009192042297893867
169,74,1985,0
170,75,1985,0.0
171,76,1985,0
